,tweet_id,airline_sentiment,text
80,569933816963342337,negative,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness
81,569933777931145216,positive,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G
83,569933360564342784,negative,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness
84,569929243146088448,negative,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin
85,569926998824394752,negative,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R
89,569919041244147712,negative,@VirginAmerica Why is the site down?  When will it be back up?
92,569911816937033728,negative,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
93,569911674158731264,negative,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin"
95,569910981868060673,negative,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign."
96,569909224521641984,negative,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y
97,569907336485019648,negative,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable
98,569896805611089920,negative,@virginamerica What is your phone number. I can't find who to call about a flight reservation.
99,569894449620369408,negative,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.
101,569892199690678272,negative,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax
104,569887310713479168,negative,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.
105,569887049446076416,positive,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying"
106,569884551712886785,negative,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm
107,569884407852437504,negative,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.
115,569847920192655361,negative,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
116,569814339785338880,positive,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience"
117,569777607371128834,positive,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!
118,569774078233419776,positive,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.
119,569770363623575552,positive,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining"
121,569741221783957504,negative,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?"
122,569737603617943552,negative,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370
123,569714127792254976,positive,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!
124,569675144353828864,positive,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!
127,569652497947734017,positive,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue
130,569642845516275712,negative,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.
131,569634318349246464,negative,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry
133,569633279546036224,negative,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!
134,569630092273410048,negative,@VirginAmerica Another delayed flight? #likingyoulessandless
135,569627480425766912,negative,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise
136,569625739231948800,positive,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015
138,569620102389350401,positive,@VirginAmerica always!!! Xoxo
139,569619569372823552,negative,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated
141,569616490380439552,positive,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!
144,569614024578600960,positive,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!
145,569609971383586817,negative,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :("
147,569599867716132864,positive,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.
148,569596445680115712,positive,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf
149,569596097540132864,negative,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.
150,569594386066984960,negative,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?
152,569580805036453888,positive,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-)
157,569572942381649920,negative,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.
159,569566981835218944,negative,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site"
160,569564853460807680,negative,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable."
161,569564610837086209,negative,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)"
162,569562202405019650,negative,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter
165,569494748341407744,negative,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers
167,569477692166316033,negative,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh
168,569461469042966528,negative,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!
173,569369239183872000,negative,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher..."
174,569368160291463168,negative,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed
176,569354267854704641,positive,@VirginAmerica Thank you for the follow
177,569351220097216512,negative,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers
178,569348775631675392,negative,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?
181,569323082701275138,negative,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!
184,569316358845911040,positive,@VirginAmerica Only way to fly! #Elevate #Gold
186,569311060903268352,negative,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever."
187,569310635986546688,negative,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever
191,569304030847090688,negative,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business
192,569303931916038144,negative,@VirginAmerica you suck!
193,569298165855338497,positive,@VirginAmerica thanks!
194,569290361870426112,negative,@VirginAmerica Just DM'd. Same issue persisting.
195,569282249717194754,negative,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids
196,569277854950817792,negative,@VirginAmerica trying to book a flight &amp; your site is down 😁
197,569277352129138688,negative,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything
198,569263837448269826,negative,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better
199,569262527281913857,positive,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue
200,569262225900359680,negative,@VirginAmerica Your website is down and I'm trying to check in!
201,569261347688607744,positive,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)"
203,569260526976544768,positive,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4
204,569253311813185537,positive,@VirginAmerica Keep up the great work :)
205,569253236093267969,positive,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY
208,569248400836726786,positive,"@VirginAmerica Thanks so much for the awesome support, you guys rock!"
209,569247769166266368,negative,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback
210,569247394002563072,negative,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.
213,569238877178716161,negative,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?
214,569237252154372097,negative,@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.
218,569229785500680192,negative,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?"
219,569226875349835776,negative,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks
220,569224234150404096,negative,@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh
221,569223788639821824,negative,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...
223,569221440794271745,positive,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline
224,569221156504530944,negative,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad
226,569218762907324416,negative,@VirginAmerica hold times at call center are a bit much
227,569212570478911489,positive,@VirginAmerica Like http://t.co/VPqEm31XUQ
229,569209566715469824,positive,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l
231,569205125278859265,positive,@VirginAmerica thanks so much!
234,569201943131738113,positive,@VirginAmerica Very nicely done. 👏
238,569198104806699008,positive,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗
239,569197967959154688,positive,@VirginAmerica sounds like fun !
242,569192778468626432,negative,"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable."
246,569176777056079874,positive,@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!
247,569165709516759042,positive,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason
248,569110766235877376,positive,@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!
250,569028851860254720,negative,@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ
251,569022319437357056,negative,@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.
252,569020707113476096,positive,"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free."
254,569011849976348672,positive,@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo
258,568972394297077760,positive,"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!"
259,568945958970531840,negative,@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒
263,568940002849255425,negative,@VirginAmerica there is something wrong with you website in Safari iPhone
264,568929979981033472,positive,@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet
266,568928741298012160,negative,@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!
272,568911350656675841,positive,@VirginAmerica your inflight team makes the experience #amazing!
273,568910590921609216,positive,@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J
274,568901823215448064,negative,"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED"
276,568897315458691072,positive,@VirginAmerica fav airline
280,568882014415249408,negative,@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help
281,568874645564362752,positive,@VirginAmerica Thank you!!
287,568853685855334400,negative,@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!
288,568850967673896960,negative,@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!
289,568850943359496192,negative,@VirginAmerica soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-)
292,568840724700995584,negative,"@VirginAmerica Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!"
293,568840560347373569,positive,@VirginAmerica would love to do more for virgin just like I do for @GoPro
298,568830133626253312,negative,@VirginAmerica I'm trying to check into my 10:50AM CT flight tmm on the desktop website and it's not working (some sort of caching bug) SOS
301,568824637267685377,negative,@VirginAmerica Do you guys know your check-in links from emails are broken? http://t.co/2npXB6oBMr
303,568815689684815873,positive,@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry
304,568812046747201537,negative,"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff"
306,568805696780824576,positive,@VirginAmerica Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!
311,568795139512127488,positive,.@VirginAmerica They were very understanding and helped me out.  Thx! #Comps
313,568791035297468416,positive,@VirginAmerica thank you! I absolutely will 😎
314,568790164404899840,negative,@virginamerica Looks like a broken link for your assets https://t.co/OArDjjGrrD
316,568775898234798081,negative,@virginamerica the manage itinerary section of your website seems to be broken for me https://t.co/2pUJvCElNg
317,568769672922812418,negative,"@VirginAmerica can't check in, your site looks like this every time it loads http://t.co/kAcY2AwDbW"
320,568663147189415936,negative,@virginAmerica Other carriers are less than half price for a round trip fare. I am stunned. http://t.co/UKdjjijroW
321,568662343170674688,negative,@VirginAmerica WTF is happening in PDX Late Flight March such that one way from SFO is ~$550?
324,568633361595412481,positive,@VirginAmerica @SSal thanks!
329,568608718994026496,negative,"@VirginAmerica my luggage is gone. I've filed my paperwork, promised a call/email. Still no resolution or response from central luggage."
332,568604690767872000,positive,@VirginAmerica thanks for taking care of @SuuperG on her flight!! #rockstars #travel
333,568602941940043776,positive,@VirginAmerica Thanks for the lovely soft views! #travel #SAN to #SFO http://t.co/CnctL7G1ef
334,568595620002279424,negative,@VirginAmerica I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?
338,568576829000425472,negative,@VirginAmerica Applied for Status Match on Feb 1. Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly 😥
341,568553610981740544,positive,"@VirginAmerica I adore you, and am so looking forward to my flight to Austin in two weeks."
347,568525368572817408,positive,"@VirginAmerica first time flying Virgin, went to #SanFrancisco .Thanks for the smooth ride. Easily my new fav airline!"
350,568518985056002049,negative,"@virginamerica not really the experience I was hoping 4, I ws forced 2 check in a small carry on, w/ nothing but empty cabin space on board"
351,568517565548339200,negative,"@VirginAmerica
wjere is our luggage #so slow at lax"
353,568511755040657409,negative,"@VirginAmerica I spoke with a representative that offered no solution, I am a loyal customer who flies on @VirginAtlantic as well"
354,568511474580066304,negative,@VirginAmerica I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email
358,568491256508231680,positive,"@VirginAmerica just promoting the product is all, had a problem with southwest and recommend noneother than the best! http://t.co/tFaNXBh1Cf"
359,568490223417602050,positive,"@VirginAmerica love you guys, but pls get some direct routes LAS to AUS!"
362,568481985221537792,positive,@VirginAmerica of course! I work for @VirginAtlantic and I'm obsessed with the entire Virgin family!!
367,568463892453724160,negative,@VirginAmerica on VX399 from JFK to LA - dirty plane - not up to your standards.
368,568463244035289088,negative,@VirginAmerica on flight VX399 headed to LA from JFK - dirtiest VA plane I have ever been on. Sad for a great airline.
370,568458513636134913,negative,@VirginAmerica your Avis rental continue button doesn't work on your website to book car. Tried 4 times on phone.  This sucks!
371,568457140894969856,negative,@VirginAmerica delayed to10.30!!
372,568456334581981184,negative,@VirginAmerica currently in minute 10 of being on hold with cust. service. Do I need to do anything to add a lap child to my reservation?
376,568447216156692480,negative,@VirginAmerica Comenity Bank is a joke!  Please change.  Nothing but constant problems with this bank
379,568434482270707712,positive,@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER
381,568429677779365888,positive,@VirginAmerica gave a credit for my Late Flight flight yesterday. Great service !!!! That's a Wow moment! Unexpected gesture!
383,568423029371334656,negative,"@VirginAmerica, I submitted a status match request a while back and still haven’t heard! I’m flying on Monday. Can you look / accelerate?"
384,568406048777900032,positive,@VirginAmerica had me at their safety video . . . http://t.co/CqMm7nuE9m  LOVED my first cross country flight. #livewelltraveled #sytycd
392,568279994876571649,positive,@VirginAmerica Your planes are really pretty. Just thought u should know that. :)
395,568245360998658048,positive,@VirginAmerica thank you
397,568239036533497856,positive,@VirginAmerica good to be home #texas #moodlighting http://t.co/N3BVZTY3zI
398,568218962833461248,negative,@VirginAmerica I cannot even open my laptop in seat 4C and I paid a premium for this?!!   Let me out of here!
399,568216286561374208,negative,@VirginAmerica I am in seat 4C and I cannot even open my laptop; and I paid extra for this seat!!
401,568204964742496256,positive,"@VirginAmerica thanks for that. Been needing a way to make those Austin trips from DCA, and now you've come through!"
404,568195292803129345,positive,@VirginAmerica this is too cool!  Never been on ur planes but now I will!!
406,568189531033174016,positive,@VirginAmerica great. Well deserved.
408,568165573869199361,negative,@VirginAmerica Status match - 2 weeks have gone by and no news.Flt next week - hope flt will count towards requirement.  Cust Svc no help!!!
412,568146157534367744,positive,@VirginAmerica got it. All set - Thanks!
415,568140092453179394,positive,@VirginAmerica Giants and Virgin America. A match made in heaven.
416,568140010458894338,positive,"@VirginAmerica thank goodness!! Also, see you friday, nwk&gt;sf.. BOOM!"
417,568136946016522240,negative,@VirginAmerica how come you don't have an iPhone app? Still using and making me waste paper.
418,568132935037132800,negative,@VirginAmerica Your back of seat entertainment system does not accept credit cards that  have an apostrophe in the surname. #apostrophefail
421,568120102660341760,positive,@VirginAmerica I luv ur people and product! 1 thing is y do u charge for herbal tea but not black tea? I'm not a caffeine drinker
422,568119079371997186,positive,@VirginAmerica thank you! See y'all soon! I'm excited to see the expansion of destinations. Spread those wings!
427,568100257931747328,positive,@VirginAmerica has the most INCREDIBLE customer service I've ever experienced! So refreshing!
433,568083179023650818,negative,@VirginAmerica kinda sucked my earphone jack didn't work on my flight. They may want to look into that for future passengers
434,568079278505463808,negative,@VirginAmerica Very poor experience. First computer problem now seat malfunction. Stuck. Missing meeting in San Diego.
436,568068214325784576,positive,@VirginAmerica #thankyou the DAL-AUS route makes my day!!!!
437,568064123621093377,positive,@virginamerica awesome deals DAL-AUS for only $39 each way! https://t.co/xCVQXYkg49
439,568059129601724416,positive,"@VirginAmerica love it, taking @SouthwestAir on in their backyard! Consumers win when biz competes."
440,568058610296565760,positive,@VirginAmerica ​ is flying from Love to Austin now. That is most excellent news.
443,568050777744379904,positive,@VirginAmerica Congrats VX on the new route! ✈️🎉
444,568017135236022273,negative,"@VirginAmerica I tried that. You offered to charge me an additional $1k for a new ticket or be stranded until Thurs. 1st time, last time."
446,567972416846217216,negative,"@VirginAmerica Never had a bad experience before, but this one took the cake. Now extortion for carry on items as well?"
447,567972174398689280,negative,@VirginAmerica Had to spend 5 hours worrying that items in carryon would be broken/stolen since I couldn't carry them on plane or lock bag.
448,567971836321009664,negative,"@VirginAmerica All of group E was told there was no more room in the bins. when I got on the plane, was room for at least 4 bags in my row!"
450,567946319349706753,negative,@VirginAmerica I have lots of flights to book and your site it not working!!!! I've been on the phone waiting for over 10 minutes..........
455,567858317831249920,positive,@VirginAmerica now it's just t-minus 32 minutes until my Elevate a Silver upgrade window opens . #FreeNeverSucks 😃👍
457,567849520781893632,negative,@VirginAmerica Why is it taking 12 years to fly home to Dallas? Get your shit together.
464,567823564167192576,positive,"Nice RT @VirginAmerica: The man of steel might be faster, but we have WiFi – just saying. #ScienceBehindTheExperience http://t.co/FGRbpAZSiX"
465,567814795895787520,positive,@VirginAmerica I love the dancing little richard. cool beans.
467,567812402764374016,positive,@VirginAmerica thanks for the free birthday points! y'all are ALL RIGHT with me!
469,567810209088847873,negative,@VirginAmerica Man of steel flies to more cities though...and with more frequency too.
470,567807967706488832,positive,@VirginAmerica thanks so much for sharing. Just added it to my site http://t.co/TsviBTvT8h
475,567806884191944705,positive,@VirginAmerica Dad on Segway is the best part of this whole infographic!
476,567806872410161152,positive,@VirginAmerica Are there any plans for a short haul airline in Europe? Would defiantly fly with you guys :)
477,567806467974365184,positive,@VirginAmerica wifi AND better seating.
479,567792185832394752,negative,@VirginAmerica started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me.
481,567786760287096832,negative,"@VirginAmerica While other airlines weren't Cancelled Flighting flights into BOS, and helping their customers get home, Virgin was saying Good luck!"
484,567785191901376512,negative,@VirginAmerica Grouping Virgin in with the others now. BOS weather has exposed their actual Cus Serv model. Never Flight Booking Problems with Virgin again!
485,567783687980367872,negative,"@VirginAmerica As one of the travelers affected by the Boston storm, I'm shocked at Virgin's complete apathy toward their customers."
490,567762071258152960,positive,@VirginAmerica you guys are perfect as always! &lt;3 #WeRVirgin
491,567759012806029312,positive,@VirginAmerica thanks! Y'all have some of the best customer service left in the industry.
493,567753757702647810,positive,@VirginAmerica really wish you'd fly out of #Fargo @fargoairport those fares are amazings
496,567744381432516608,negative,@VirginAmerica my group got their Cancelled Flightlation fees waived but I can't because my ticket is booked for 2/18? Your reps were no help either 😡
498,567742578561650688,positive,@VirginAmerica just got on the 1pm in Newark home to LA. Your folks at EWR are incredible #letsgohome
502,567727292739092480,positive,@VirginAmerica Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul.
504,570307876897628160,positive,@united thanks
505,570307847281614848,positive,@united Thanks for taking care of that MR!! Happy customer.
506,570307109704900608,negative,@united still no refund or word via DM. Please resolve this issue as your Cancelled Flightled flight was useless to my assistant's trip.
507,570307026263384064,negative,@united Delayed due to lack of crew and now delayed again because there's a long line for deicing... Still need to improve service #united
516,570299819610251265,positive,@united Thanks. It is on the same ticket.
518,570299182310944768,negative,@united is the worst. Nonrefundable First class tickets? Oh because when you select Global/FC their system auto selects economy w/upgrade.
519,570298918971576320,negative,@united @CheerTymeDad So I can buy tix 3 days before flight but can't transfer the tix.  Flawed security logic. Flawed customer service
523,570298018685165568,negative,"@united if the car seat is lost @united should just reimburse me for a new one, this is not a pair of shoes, it's a necessity for my child"
527,570294743684517888,positive,@united just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase. Let her know she wasappreciated
529,570294205999939584,negative,@united beginning of Feb I called United they said they would send another voucher by mail. Never got anything. #tiredofwaiting
530,570293957739081728,negative,"@United the internet is a great thing.  I am emailing executives in your company, maybe they will respond to me in a timely manner."
533,570291813912858625,negative,"@united thats weak. See ya 👋
Hey @VirginAmerica !!"
534,570291642550386689,negative,@united I flew back w other company since United didnt have an earlier flight
536,570291213007491076,negative,@united I am trying to book awards for September and need flights on @aegeanairlines but they will not show even w/ many award seats availab
537,570290993339244547,negative,@united I sure did.   I had to drive a total of 3 hours to get my own bag.  I'd like to explain that debacle but no one wants to talk to me.
539,570289777184002048,negative,"@united See? We were told repeatedly that the pilot was Late Flight and kept getting Late Flightr.  After we boarded, there was a defibrillator issue."
540,570289557205327873,negative,@united why no preferred security line anymore. My TSA pre-check didn't pull on my @SilverAirways partner flight! #Platinum #spoiled
543,570286882623369217,negative,@united How does United refuse to reissue a $400 lost voucher when their plane didn't take off due to mechanics? #badcustomerservice
545,570286100637466624,negative,"@united yes, we've been with the agents for the last 50 minutes. One of the agents have been very rude, but thankfully Ladan has been nice."
